Posição Atual do Ativo,Código da Operação,Preço de Abertura,Maxima Alta,Minima Baixa,Preço de Fechamento,Última Média Rápida,Última Média Lenta,Última Volatilidade,Média da Volatilidade,Diferença Atual,Último RSI,Média Recente dos Gradientes Rápidos,Média Necessária para Tendência de Alta,Gradiente Rápido Máximo para Sair da Tendência,Gradiente Rápido,Direção do Gradiente Rápido,Gradiente Lento,Direção do Gradiente Lento,Porcentagem de Crescimento do Gradiente Rápido,Porcentagem de Decremento do Gradiente Rápido,MACD,Linha de Sinal,Histograma do MACD,Taxa de Crescimento do Histograma do MACD,Sinal de Compra,Sinal de Venda,Indicador Vortex +VI,Indicador Vortex -VI,Taxa de Crescimento do +VI
Vendido,SOLUSDT,217.04,217.18,215.67,217.03,216.361,212.412,4.064,5.884,3.949,65.545,-0.442,0.432,0.029,0.176,Subindo,0.24,Subindo,61.842,0.0,0.61367,1.104,-0.49033,-0.35,False,False,,,
Vendido,SOLUSDT,217.48,217.66,217.18,217.43,216.563,212.626,4.112,5.9,3.937,69.935,-0.32,0.433,0.096,0.164,Descendo,0.207,Descendo,0.0,6.504,0.85165,1.06555,-0.21391,-0.524,False,False,,,
Vendido,SOLUSDT,217.76,217.89,217.18,217.76,216.61,212.634,4.123,5.9,3.976,73.492,-0.306,0.433,0.084,0.211,Subindo,0.215,Subindo,28.696,0.0,0.83915,1.06328,-0.22414,-0.501,False,False,,,
Vendido,SOLUSDT,217.64,217.89,217.18,217.64,216.593,212.631,4.119,5.9,3.962,72.3,-0.31,0.433,0.131,0.194,Descendo,0.212,Descendo,0.0,8.108,0.83706,1.0629,-0.22584,-0.497,False,False,,,
Vendido,SOLUSDT,217.22,217.89,217.18,217.23,216.534,212.62,4.106,5.899,3.914,66.402,-0.334,0.433,0.114,0.136,Descendo,0.201,Descendo,0.0,30.147,0.71831,1.04131,-0.323,-0.281,False,False,,,
Vendido,SOLUSDT,217.51,217.89,216.97,217.54,216.579,212.628,4.116,5.9,3.95,71.222,-0.321,0.433,0.056,0.18,Subindo,0.209,Subindo,32.632,0.0,0.79331,1.05495,-0.26164,-0.418,False,False,,,
Vendido,SOLUSDT,217.58,217.89,216.97,217.53,216.577,212.628,4.115,5.9,3.949,71.109,-0.311,0.433,0.1,0.179,Descendo,0.209,Descendo,0.0,0.794,0.80998,1.05798,-0.248,-0.448,False,False,,,
Vendido,SOLUSDT,217.71,217.89,216.97,217.76,216.61,212.634,4.123,5.9,3.976,73.492,-0.308,0.433,0.099,0.211,Subindo,0.215,Subindo,18.4,0.0,0.82873,1.06139,-0.23266,-0.482,False,False,,,
Vendido,SOLUSDT,218.68,218.85,216.97,218.65,216.737,212.656,4.153,5.901,4.081,79.904,-0.262,0.433,0.131,0.339,Subindo,0.237,Subindo,60.135,0.0,1.05165,1.10192,-0.05027,-0.888,False,False,,,
Vendido,SOLUSDT,219.03,219.24,216.97,219.03,216.791,212.665,4.168,5.901,4.126,81.785,-0.246,0.433,0.259,0.393,Subindo,0.246,Subindo,16.034,0.0,1.10165,1.11101,-0.00936,-0.979,False,False,,,
Vendido,SOLUSDT,218.23,219.5,216.97,218.23,216.677,212.646,4.138,5.9,4.032,77.314,-0.281,0.433,0.313,0.279,Descendo,0.226,Descendo,0.0,29.091,0.9454,1.0826,-0.1372,-0.695,False,False,1.125,0.86846,4.735
Vendido,SOLUSDT,218.35,219.5,216.97,218.33,216.691,212.648,4.142,5.9,4.043,77.99,-0.271,0.433,0.199,0.293,Subindo,0.229,Subindo,5.128,0.0,0.99331,1.09131,-0.098,-0.782,False,False,1.125,0.86846,4.735
Vendido,SOLUSDT,218.71,218.79,217.69,218.67,216.939,212.942,4.148,5.909,3.997,80.666,-0.181,0.433,0.213,0.234,Descendo,0.291,Subindo,0.0,20.0,1.18684,1.10837,0.07847,-1.787,True,False,1.1102,0.81003,-1.316
